NAME,TICKER
Reliance,RELIANCE.NS
HDFC,HDFCBANK.NS
Infosys,INFY.NS
ICICI Bank,ICICIBANK.NS
TCS,TCS.NS
Kotak Mahindra Bank,KOTAKBANK.NS
Hindustan Unilever,HINDUNILVR.NS
ITC,ITC.NS
SBI,SBIN.NS
Asian Paints,ASIANPAINT.NS
Bajaj Finance,BAJFINANCE.NS
Bharti Airtel,BHARTIARTL.NS
Maruti,MARUTI.NS
HCL Technology,HCLTECH.NS
Nestle India,NESTLEIND.NS
Wipro,WIPRO.NS
Ultrace MCO,ULTRACEMCO.NS
Sun Pharmacy,SUNPHARMA.NS
NTPC,NTPC.NS
Bajaj Auto,BAJAJ-AUTO.NS
Titan,TITAN.NS
ONGC,ONGC.NS
Power Grid,POWERGRID.NS
Tech Mahindra,TECHM.NS
Bajaj FinServe,BAJAJFINSV.NS
Britannia,BRITANNIA.NS
Coal India,COALINDIA.NS
JSW Steels,JSWSTEEL.NS
Shree Cements,SHREECEM.NS
Pidilite Industry Limited,PIDILITIND.NS
